movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published,Year
Midnight Special Official Trailer,1zuQTmVCEn4,"Midnight Special Official Trailer #1 (2016) -  Joel Edgerton, Kirsten Dunst Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,907,3804902,8443,2015-11-19T18:44:55.000Z,2016
Miracles from Heaven Official Trailer,CldGTG6iVrU,MIRACLES FROM HEAVEN - Official Trailer (ft. Jennifer Garner),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,5340,9471946,57030,2015-11-11T14:21:14.000Z,2016
The Hatching Official Trailer,UOqgbJmqtWY,The Hatching (2017) Trailer,Wicked Thrilling Freaks,UCebJkR9u7tE2l_ZDwRlvEIw,1,3949,13,2018-12-01T11:38:53.000Z,2016
"Hello, My Name is Doris Official Trailer",L6vBnnryIug,"Hello, My Name Is Doris Official Trailer #1 (2015) - Sally Field, Max Greenfield Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,796,2979825,13958,2015-10-30T00:18:59.000Z,2016
10 Cloverfield Lane Official Trailer,saHzng8fxLs,"10 Cloverfield Lane Official Trailer #1 (2016) -  Mary Elizabeth Winstead, John Goodman Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,6791,10153987,34211,2016-01-15T08:15:16.000Z,2016
The Perfect Match Official Trailer,vKCFkFaIwU0,"The Perfect Match Official Trailer #1 (2016) - Donald Faison, Paula Patton Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1146,6948995,25993,2016-01-18T18:33:20.000Z,2016
The Young Messiah Official Trailer,pVfmdLO2Ui8,"The Young Messiah Official Trailer #1 (2016) - Sean Bean, Adam Greaves-Neal Drama HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,3711,2306946,8230,2015-09-17T17:12:39.000Z,2016
Eye in the Sky Official Trailer,hOqeoj669xg,"Eye in the Sky Official North American Trailer (2015) - Aaron Paul, Helen Mirren War Thriller HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1481,3834842,7297,2015-12-03T17:00:01.000Z,2016
Creative Control Official Trailer,_VHWoX6fgEc,"Creative Control Official Trailer 1 (2016) - Benjamin Dickinson, Nora Zehetner Movie HD",Movieclips Indie,UCLyYEq4ODlw3OD9qhGqwimw,114,269638,478,2016-02-03T00:53:03.000Z,2016
The Brothers Grimsby Official Trailer,_YtclB_02wA,The Brothers Grimsby - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,1145,7089057,17471,2015-12-10T05:18:09.000Z,2016
Out of the Inferno Official Trailer,7naKQC7No-U,"OUT OF THE INFERNO Official Trailer (2016) - Sean Lau, Louis Koo, Chen Si Cheng",Grindstone Official,UC1sm5S01HRIyAiOBUwZSj-A,1,8693,21,2016-02-17T00:28:40.000Z,2016
Savva. Serdtse voyna Official Trailer,hJJ6qA_mTMA,SAVVA - Official Trailer 2015,Glukoza Production,UCm6RRW47Spckd4Y_56UI6sA,4,22579,52,2016-02-26T09:02:08.000Z,2016
London Has Fallen Official Trailer,3AsOdX7NcJs,"London Has Fallen Official Trailer #1 (2016) - Gerard Butler, Morgan Freeman Action Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,6075,14009995,38774,2015-11-05T18:00:01.000Z,2016
Whiskey Tango Foxtrot Official Trailer,2V8V6-VjnWw,"Whiskey Tango Foxtrot Official Trailer #1 (2016) - Tina Fey, Billy Bob Thorton Comedy HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,853,2650781,10156,2015-12-17T16:20:03.000Z,2016
They Will Have to Kill Us First Official Trailer,3TX7ybW6nAQ,They Will Have to Kill Us First: Malian Music in Exile - TRAILER 2015,They Will Have to Kill Us First,UCUzBZkeO-KbtHRZjsBHoyVw,13,62228,324,2015-02-03T21:13:59.000Z,2016
Zootopia Official Trailer,jWM0ct-OLsM,Zootopia Official US Trailer #2,Walt Disney Animation Studios,UC_976xMxPgzIa290Hqtk-9g,11209,21749680,75759,2015-12-31T13:42:48.000Z,2016
The Other Side of the Door Official Trailer,C1HjOEubv2Y,The Other Side of the Door Official Trailer #1 (2016) Sarah Wayne Callies Horror Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,1464,4783968,10860,2015-11-25T07:25:21.000Z,2016
1982 Official Trailer,eogpIG53Cis,"Blade Runner (1982) Official Trailer - Ridley Scott, Harrison Ford Movie",Movieclips Classic Trailers,UCTCjFFoX1un-j7ni4B6HJ3Q,1791,4657349,11690,2014-01-28T03:51:46.000Z,2016
Triple 9 Official Trailer,JzUtr5sjRvU,"Triple 9 Official Trailer #1 (2016) - Kate Winslet, Woody Harrelson Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,942,6571649,12045,2016-01-12T17:25:48.000Z,2016
Eddie the Eagle Official Trailer,hyzQjVUmIxk,Eddie the Eagle | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,697,5173638,9972,2015-12-17T05:29:01.000Z,2016
Gods of Egypt Official Trailer,IJBnK2wNQSo,"Gods of Egypt Official Trailer #1 (2016) - Gerard Butler, Brenton Thwaites Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,23380,25600850,69685,2015-11-17T17:28:59.000Z,2016
Forsaken Official Trailer,Qy1KWyDDM2U,Destiny 2: Forsaken – Launch Trailer,destinygame,UC52XYgEExV9VG6Rt-6vnzVA,15420,3116499,62904,2018-08-28T15:00:02.000Z,2016
Race Official Trailer,6ygu45dU3U4,"Race Official Trailer #1 (2016) Stephan James, Jason Sudeikis Biographical Drama Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,400,791295,2192,2015-10-14T19:15:24.000Z,2016
Risen Official Trailer,OcTVLfn5i8g,RISEN Official Trailer - In Theaters Now!,Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,3183,2748753,6695,2015-04-30T16:10:47.000Z,2016
Mei Ren Yu Official Trailer,SPcUcZds0zQ,Official Mermaid (Mei Ren Yu) Trailer - In Indonesian Cinemas 16 March 2016,Sony Pictures Indonesia,UChSbmyYeWgBHT0HqqGvNYHQ,11,156989,133,2016-03-08T03:20:37.000Z,2016
The Witch Official Trailer,iQXmlf3Sefg,The Witch | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,5832,16838047,43343,2015-08-19T13:00:01.000Z,2016
Deadpool Official Trailer,gtTfd6tISfw,Deadpool Official Trailer #1 (2016) - Ryan Reynolds Movie HD,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,5817,34511435,123883,2015-08-05T03:00:24.000Z,2016
Zoolander 2 Official Trailer,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,8855,21940413,83600,2015-11-18T13:00:52.000Z,2016
