movie,budge,gross,comment_count,view_count,like_count,year
Warcraft,160000000.0,425522281.0,24563,25692873,131370,2016
Popstar: Never Stop Never Stopping,20000000.0,9537120.0,890,2406436,11418,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,245328374.0,3831,5597838,28841,2016
The Fits,170000.0,169242.0,35,150045,405,2016
Time to Choose,3500000.0,29233.0,19,25202,265,2016
Me Before You,20000000.0,208265198.0,10431,25520441,156400,2016
Alice Through the Looking Glass,170000000.0,276928112.0,4814,10233307,55644,2016
X-Men: Apocalypse,178000000.0,542537546.0,19307,20662595,130589,2016
Une Femme Marie,120000.0,0.0,5,44981,179,2016
The Angry Birds Movie,73000000.0,352327887.0,587,17126504,38414,2016
The Nice Guys,50000000.0,59596747.0,1071,8452640,17690,2016
Neighbors 2: Sorority Rising,35000000.0,108757621.0,1905,10282386,48068,2016
Money Monster,27000000.0,93466095.0,859,2379532,8456,2016
The Darkness,4000000.0,10898293.0,1813,5011859,10934,2016
Captain America: Civil War,250000000.0,1140069413.0,12545,28597183,103509,2016
Code of Honor,8000000.0,0.0,169,461042,623,2016
Dheepan,9000000.0,7704357.0,17,88429,335,2016
Keanu,15000000.0,20688141.0,490,2719063,9205,2016
Mothers Day,25000000.0,52367022.0,2284,11106215,42815,2016
The Man Who Knew Infinity,10000000.0,12382122.0,8185,14833097,140197,2016
Ratchet and Clank,20000000.0,14365639.0,6841,4799520,32191,2016
The Meddler,3200000.0,5526942.0,124,1037088,3093,2016
Compadres,3000000.0,7445044.0,244,1064925,3162,2016
A Hologram for the King,35000000.0,11846010.0,3392,3957089,10640,2016
Unsullied,1500000.0,510957.0,28,55633,83,2016
The Huntsman: Winters War,115000000.0,165149302.0,3770,8099129,33216,2016
The Jungle Book,175000000.0,962854547.0,3082,8291182,32144,2016
The Jungle Book,27000000.0,44342956.0,3082,8291182,32144,2016
Green Room,5000000.0,3807503.0,757,1318619,3863,2016
I Am Wrath,18000000.0,309608.0,850,1470255,3586,2016
Criminal,31500000.0,38771262.0,506,3655789,4367,2016
Barbershop: The Next Cut,20000000.0,54404202.0,1294,3911640,13081,2016
Hardcore Henry,2000000.0,17187434.0,8433,19498334,68349,2016
The Boss,29000000.0,78652207.0,1568,7855566,31915,2016
The Invitation,1000000.0,354836.0,1356,3299144,4296,2016
